"","CD11b","CD14","CD7","IgM","CCR7","CD38","CD16","CD123","CD27","CD11c","CD66b","CXCR3","CD19","CD4","CD45RO","IgA","CD127","CD3","CD8","CD45","CD20","CD45RA","CD1c","CD25","CD15","IgD","HLA-DR","CD56"
"613",2.96556330589043,0,0.29160638187276,1.67896536620116,0,1.95176134263961,2.04967494071958,0,0,1.03401302528237,3.85625582902,0,0,0,3.41733166325021,1.86980071387573,0.0386338620115163,0.201364018377023,0.124759099122044,2.89828836992331,0.517051110147782,0.102103522503488,0,0.974982849616858,2.43255174160067,0.857944986040333,1.69615970434819,0
"614",0.356968273668438,0.50431335721885,1.69590194691734,3.47475907976895,1.6040679136028,0.38616907336015,0.286864626697434,0.14322047338127,3.23885029182604,0.40379556943972,0,0,0,2.79144393276783,1.123476182961,2.66071363009994,0.549396962330526,4.1674292637552,0.243539602631486,4.0239037777733,0,0.66284233231316,0,0,0.325799476180628,0.0291676885244565,1.97190856703283,0.15989043990931
"615",3.59366997128949,0.761949451700879,0,0,0,0.500735343384569,1.04406647411559,0,0,1.24164483004145,2.68248031613947,0,1.10831049903306,0,3.82358524677209,1.60288650754629,0,0.236472190803974,0,3.1399415680624,0.265612651700519,0,0,0,3.21032702586917,0.289774681434345,0,0
"616",3.67175695739473,1.41557665263464,0.0188818291511884,0,0,1.2320911166512,0,0.23982984823701,0,0,2.27338541178084,0,0,0,3.35736626740302,0.315252944904973,0.483062903968047,0.236438170299041,0,3.63551870710988,0.0858245890181795,0,0.0291742511836479,0.732572522701351,2.50563435887052,0.248552641826553,0,0
"617",3.39160439168028,1.00491460801494,0.532969269179329,1.52883548081914,0,1.07010323223506,4.85238847333618,0.112438340035905,0,1.41316717535635,3.45777582286916,0,0,0.682861756543003,3.81933481800878,3.09234458973918,0.844808484252118,0.259954217924705,0.0164116287043618,3.43787773311902,0.0174984346564405,0,0,0,4.55354346885353,0.934503711541705,2.4120134816148,0.24318126579607
"618",0.0510388722243428,0.0583579343292309,0,1.16874841173672,0,0,0,0,0,0,0,0,0,2.79181056081573,3.6570944935423,0.736661009595414,0.409998180431582,4.25282332254662,1.55618188773629,4.44078407406214,0,0.39757266267364,0,0,0,0.0892371993930534,0,0.914072217925556
"619",3.76902324604846,0.283785769015002,0.546357649148069,0,0.91975079309124,2.11183365643919,2.6128622717398,0,0,1.96912563953621,3.08800923681401,0,0,0,3.3143286987032,1.14547069564984,0,0.641478481317336,0,3.68229165109864,0.286626298309506,0.370192657694058,0,0,2.27290445771153,0,2.01619441501061,0
"620",3.13829302173834,0.265825280491799,0.555655306498376,2.51914697483361,0,2.48953392613716,1.46337918725103,0,0,1.30250643777445,1.52219175904958,0,0,0,3.62753839037559,0.724400101164991,0,0.107111717409667,1.73614206379608,3.10732328768631,0,0,0,0,1.73304315319598,0,1.54520241316205,1.99113587079548
"621",2.8952184643325,0.926181649009931,0.12059534323487,2.49018191498594,0,0.64056825043581,3.95096076427524,0.177453288572028,0,2.19759191337301,1.89021035656366,0,0,0,3.35987600983665,1.45417938324924,0,0.389829928477065,0.9492034665979,3.12645816226417,0.00307256990015769,0,0,0.753349038067927,3.5381178635769,1.18985273018345,1.57265558523434,0
"622",3.75581494629486,0.568876335720434,0.680094616207649,0.964626539168347,0.522348550078386,2.97469019959741,3.74377880427687,0,0.729361754607705,1.89937600017631,3.38230513509041,0,0,0,3.87512789091674,2.04692867199624,0,0.25989115279787,0.387614281699837,3.45720713843419,0.462821357815802,0,0,0.116491704016452,3.19316800770685,1.01641581337782,2.02449744480268,1.86670275604942
"623",0.625830998240992,0.23292519833328,1.84897635606199,0,0,2.23320185686242,2.89472877517536,0.0825928238240117,0,0.52290048545598,0,0,0,0,0.454824209096401,0.462443435279756,0,0.579888632589938,1.8035328688776,4.50573080592448,0,0.448764389537998,0,0,0,0.945918975511736,0.816477944726843,2.12280586756724
"624",3.23749019075732,0.131016581960707,0.215019115686038,0.432602276146004,0.893915705752615,0,0.863172145375282,0,0,0.784788501908222,4.29688440454666,0,0,0,3.07457351613541,0.705648038112725,0,0.337546753148327,0,3.74121508439382,0.193793635604998,0.297540605148871,0,0,2.88100102665583,0,1.78103240700897,0
"625",3.41434743454399,0.824763988356516,0,1.39351205938767,0,1.2133908906586,2.85434202647155,0,0,0.140657691618904,3.23153297514342,0.129290741204736,0,0.51077270820724,3.33738758336398,2.03378037311989,0,0.37406579952539,0.219666693412608,3.81681478865595,0.102607258685947,0,0,0,2.22811725237086,0,1.03300124625661,0
"626",0.204332253412182,0,3.11194105915773,1.43167174026566,1.33022231458726,0,0.422222469264193,0,3.27575636713921,0,0,0,0,0,2.87850168006442,0,2.26896215573924,3.94154773022953,4.84233540572842,4.65553810880524,0.177475069929105,0.546498461728578,0,1.42045794777248,0,1.23500489878189,0.276315680835857,1.02953291041575
"627",0.276818718315821,0.315154179893609,3.76821706377769,0,0.619147493584993,0,0,0,2.66949927744574,0,0.752571540201601,0,0,0,3.11490618901999,1.59476457374039,0,3.96206968582587,4.27863875020622,4.54253962838916,0.0813248535905378,0,0,1.11639371680616,0.938021372348565,0.384329682040401,1.42372457607384,0.646670944309139
"628",3.28242930025526,1.14199629168326,0.12074943047196,1.35620309784081,0.695353093527486,0.946640981495479,1.65056241813878,0,0,1.20767916444484,2.39886621228956,0,0,0,3.77694824867333,1.56585826206549,0.175096973614939,0.195993571976559,0.23225246848243,3.55348211371467,0.368398800229849,0,0.106654967787014,0.0108854088686639,2.74966308209897,0.78368827688747,0.127487846389454,0
"629",3.54978631549452,4.34701199122467,0.739212463562864,2.28051285571079,0.0417970422434976,3.221601297494,1.56044262609484,0.0539048884839385,0,4.12747264834766,0,0,0,1.13458352327111,2.46329738451443,2.07028908878195,0.77997885889762,0.599507544111064,0.896709309133982,4.65583333119387,0,0.0276095925249384,0,0,1.47963949111828,0.711260912776392,6.2309553233342,0.023768118253863
"630",0.138764758755324,0.0985211152741227,0,4.85881174816474,0.837217429831976,1.60277018571556,0,0.695229770721777,0,0,0,0,1.3565887359728,0,1.44911715605714,1.88231750806339,0,0.467329033863319,0,3.63425934723499,1.41136571953672,0.973450898099812,0,0,0,3.03938670109733,5.75710217493603,1.51857996588861
